"rsz"
.0140625
"02-06-2024"
"09:16:02"
1294
10
25
5
1362
"In"
1
6.2
0
0
0
"AVM"
23
10
200
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
"时间(S)","温度(°C)","TG失重率(wl%)","TG剩余率(%)","DTA值(uV)","DTG速率(mg/min)","DTG百分比(%/min)","TG原值","DTG原值","DTA原值"
0,27.6,0,100,2.124023,-1.6357,-26.3829,3175,0,2222
1,27.6,.197,100.197,1.599121,-1.6357,-26.3829,3180,0,2179
2,27.6,.158,100.158,1.23291,-1.6357,-26.3829,3179,0,2149
3,27.6,.079,100.079,.976563,-1.6357,-26.3829,3177,0,2128
4,27.6,.039,100.039,.793457,-1.6357,-26.3829,3176,0,2113
5,27.6,0,100,.683594,-1.6357,-26.3829,3175,0,2104
6,27.6,.039,100.039,.598145,-1.6357,-26.3829,3176,0,2097
7,27.6,0,100,.524902,-1.6357,-26.3829,3175,0,2091
8,27.6,0,100,.476074,-1.6357,-26.3829,3175,0,2087
9,27.6,.039,100.039,.439453,-1.6357,-26.3829,3176,0,2084
10,27.6,.039,100.039,.427246,-1.6357,-26.3829,3176,0,2083
11,27.6,.039,100.039,.402832,-1.6357,-26.3829,3176,0,2081
12,27.6,0,100,.390625,-1.6357,-26.3829,3175,0,2080
13,27.6,0,100,.366211,-1.6357,-26.3829,3175,0,2078
14,27.6,.039,100.039,.354004,-1.6357,-26.3829,3176,0,2077
15,27.6,.039,100.039,.354004,-1.6357,-26.3829,3176,0,2077
16,27.6,.079,100.079,.341797,-1.6357,-26.3829,3177,0,2076
17,27.6,.039,100.039,.341797,-1.6357,-26.3829,3176,0,2076
18,27.6,.079,100.079,.32959,-1.6357,-26.3829,3177,0,2075
19,27.6,.079,100.079,.317383,-1.6357,-26.3829,3177,0,2074
20,27.6,.118,100.118,.292969,-1.6357,-26.3829,3178,0,2072
21,27.6,.118,100.118,.280762,-1.6357,-26.3829,3178,0,2071
22,27.6,.118,100.118,.268555,-1.6357,-26.3829,3178,0,2070
23,27.6,.118,100.118,.280762,-1.6357,-26.3829,3178,0,2071
24,27.6,.118,100.118,.280762,-1.6357,-26.3829,3178,0,2071
25,27.6,.118,100.118,.268555,-1.6357,-26.3829,3178,0,2070
26,27.6,.158,100.158,.268555,-1.6357,-26.3829,3179,0,2070
27,27.6,.236,100.236,.268555,-1.6357,-26.3829,3181,0,2070
28,27.6,.236,100.236,.268555,-1.6357,-26.3829,3181,0,2070
29,27.6,.236,100.236,.256348,-1.6357,-26.3829,3181,0,2069
30,27.6,.236,100.236,.256348,-1.6357,-26.3829,3181,0,2069
31,27.6,.276,100.276,.256348,-1.6357,-26.3829,3182,0,2069
32,27.6,.276,100.276,.268555,-1.6357,-26.3829,3182,0,2070
33,27.6,.276,100.276,.256348,-1.6357,-26.3829,3182,0,2069
34,27.6,.276,100.276,.256348,-1.6357,-26.3829,3182,0,2069
35,27.6,.276,100.276,.256348,-1.6357,-26.3829,3182,0,2069
36,27.6,.315,100.315,.256348,-1.6357,-26.3829,3183,0,2069
37,27.6,.354,100.354,.256348,-1.6357,-26.3829,3184,0,2069
38,27.6,.315,100.315,.268555,-1.6357,-26.3829,3183,0,2070
39,27.6,.315,100.315,.256348,-1.6357,-26.3829,3183,0,2069
40,27.6,.276,100.276,.268555,-1.6357,-26.3829,3182,0,2070
41,27.6,.276,100.276,.256348,-1.6357,-26.3829,3182,0,2069
42,27.6,.354,100.354,.256348,-1.6357,-26.3829,3184,0,2069
43,27.6,.354,100.354,.268555,-1.6357,-26.3829,3184,0,2070
44,27.6,.354,100.354,.268555,-1.6357,-26.3829,3184,0,2070
45,27.6,.394,100.394,.256348,-1.6357,-26.3829,3185,0,2069
46,27.6,.433,100.433,.244141,-1.6357,-26.3829,3186,0,2068
47,28.2,.433,100.433,.244141,-1.6357,-26.3829,3186,0,2068
48,28.2,.473,100.473,.244141,-1.6357,-26.3829,3187,0,2068
49,27.6,.512,100.512,.244141,-1.6357,-26.3829,3188,0,2068
50,28.2,.473,100.473,.244141,-1.6357,-26.3829,3187,0,2068
51,28.2,.512,100.512,.244141,-1.6357,-26.3829,3188,0,2068
52,28.2,.473,100.473,.244141,-1.6357,-26.3829,3187,0,2068
53,28.2,.473,100.473,.244141,-1.6357,-26.3829,3187,0,2068
54,28.2,.473,100.473,.244141,-1.6357,-26.3829,3187,0,2068
55,28.2,.433,100.433,.244141,-1.6357,-26.3829,3186,0,2068
56,28.2,.394,100.394,.256348,-1.6357,-26.3829,3185,0,2069
57,28.2,.433,100.433,.256348,-1.6357,-26.3829,3186,0,2069
58,28.2,.473,100.473,.256348,-1.6357,-26.3829,3187,0,2069
59,28.2,.512,100.512,.256348,-1.6357,-26.3829,3188,0,2069
60,28.2,.551,100.551,.268555,-1.6357,-26.3829,3189,0,2070
61,28.2,.512,100.512,.268555,-1.6357,-26.3829,3188,0,2070
62,28.2,.512,100.512,.268555,-1.6357,-26.3829,3188,0,2070
63,28.2,.473,100.473,.268555,-1.6357,-26.3829,3187,0,2070
64,28.2,.473,100.473,.268555,-1.6357,-26.3829,3187,0,2070
65,28.2,.512,100.512,.268555,-1.6357,-26.3829,3188,0,2070
66,28.2,.512,100.512,.256348,-1.6357,-26.3829,3188,0,2069
67,28.2,.551,100.551,.256348,-1.6357,-26.3829,3189,0,2069
68,28.2,.512,100.512,.256348,-1.6357,-26.3829,3188,0,2069
69,28.2,.512,100.512,.256348,-1.6357,-26.3829,3188,0,2069
70,28.7,.433,100.433,.256348,-1.6357,-26.3829,3186,0,2069
71,28.2,.591,100.591,.256348,-1.6357,-26.3829,3190,0,2069
72,28.7,.591,100.591,.256348,-1.6357,-26.3829,3190,0,2069
73,28.7,.63,100.63,.244141,-1.6357,-26.3829,3191,0,2068
74,28.7,.63,100.63,.256348,-1.6357,-26.3829,3191,0,2069
75,28.7,.63,100.63,.244141,-1.6357,-26.3829,3191,0,2068
76,28.7,.63,100.63,.244141,-1.6357,-26.3829,3191,0,2068
77,28.7,.709,100.709,.244141,-1.6357,-26.3829,3193,0,2068
78,28.7,.709,100.709,.244141,-1.6357,-26.3829,3193,0,2068
79,28.7,.669,100.669,.244141,-1.6357,-26.3829,3192,0,2068
80,28.7,.63,100.63,.244141,-1.6357,-26.3829,3191,0,2068
81,28.7,.669,100.669,.231934,-1.6357,-26.3829,3192,0,2067
82,28.7,.63,100.63,.219727,-1.6357,-26.3829,3191,0,2066
83,28.7,.669,100.669,.219727,-1.6357,-26.3829,3192,0,2066
84,28.7,.669,100.669,.20752,-1.6357,-26.3829,3192,0,2065
85,28.7,.669,100.669,.20752,-1.6357,-26.3829,3192,0,2065
86,29.3,.709,100.709,.195313,-1.6357,-26.3829,3193,0,2064
87,28.7,.709,100.709,.195313,-1.6357,-26.3829,3193,0,2064
88,29.3,.669,100.669,.195313,-1.6357,-26.3829,3192,0,2064
89,28.7,.63,100.63,.183105,-1.6357,-26.3829,3191,0,2063
90,29.3,.63,100.63,.183105,-1.6357,-26.3829,3191,0,2063
91,29.3,.591,100.591,.183105,-1.6357,-26.3829,3190,0,2063
92,29.3,.669,100.669,.183105,-1.6357,-26.3829,3192,0,2063
93,29.3,.669,100.669,.183105,-1.6357,-26.3829,3192,0,2063
94,29.3,.591,100.591,.170898,-1.6357,-26.3829,3190,0,2062
95,29.3,.63,100.63,.170898,-1.6357,-26.3829,3191,0,2062
96,29.3,.709,100.709,.170898,-1.6357,-26.3829,3193,0,2062
97,29.3,.709,100.709,.170898,-1.6357,-26.3829,3193,0,2062
98,29.3,.709,100.709,.170898,-1.6357,-26.3829,3193,0,2062
99,29.3,.709,100.709,.170898,-1.6357,-26.3829,3193,0,2062
100,29.3,.669,100.669,.170898,-1.6357,-26.3829,3192,0,2062
101,29.3,.748,100.748,.170898,-1.6357,-26.3829,3194,0,2062
102,29.3,.748,100.748,.170898,-1.6357,-26.3829,3194,0,2062
103,29.9,.748,100.748,.170898,-1.6357,-26.3829,3194,0,2062
104,29.9,.748,100.748,.170898,-1.6357,-26.3829,3194,0,2062
105,29.9,.748,100.748,.158691,-1.6357,-26.3829,3194,0,2061
106,29.9,.788,100.788,.158691,-1.6357,-26.3829,3195,0,2061
107,29.9,.748,100.748,.158691,-1.6357,-26.3829,3194,0,2061
108,29.9,.788,100.788,.158691,-1.6357,-26.3829,3195,0,2061
109,29.9,.788,100.788,.170898,-1.6357,-26.3829,3195,0,2062
110,29.9,.827,100.827,.158691,-1.6357,-26.3829,3196,0,2061
111,29.9,.866,100.866,.170898,-1.6357,-26.3829,3197,0,2062
112,29.9,.827,100.827,.158691,-1.6357,-26.3829,3196,0,2061
113,29.9,.827,100.827,.146484,-1.6357,-26.3829,3196,0,2060
114,29.9,.788,100.788,.146484,-1.6357,-26.3829,3195,0,2060
115,29.9,.788,100.788,.146484,-1.6357,-26.3829,3195,0,2060
116,30.5,.788,100.788,.146484,-1.6357,-26.3829,3195,0,2060
117,29.9,.788,100.788,.146484,-1.6357,-26.3829,3195,0,2060
118,30.5,.788,100.788,.146484,-1.6357,-26.3829,3195,0,2060
119,29.9,.827,100.827,.134277,-1.6357,-26.3829,3196,0,2059
120,29.9,.827,100.827,.134277,-1.6357,-26.3829,3196,0,2059
121,30.5,.827,100.827,.12207,-1.6357,-26.3829,3196,0,2058
122,30.5,.788,100.788,.134277,-1.6357,-26.3829,3195,0,2059
123,30.5,.788,100.788,.12207,-1.6357,-26.3829,3195,0,2058
124,30.5,.788,100.788,.12207,-1.6357,-26.3829,3195,0,2058
125,30.5,.866,100.866,.109863,-1.6357,-26.3829,3197,0,2057
126,30.5,.866,100.866,.109863,-1.6357,-26.3829,3197,0,2057
127,30.5,.906,100.906,.109863,-1.6357,-26.3829,3198,0,2057
128,30.5,.984,100.984,.109863,-1.6357,-26.3829,3200,0,2057
129,30.5,.984,100.984,.097656,-1.6357,-26.3829,3200,0,2056
130,30.5,.906,100.906,.097656,-1.6357,-26.3829,3198,0,2056
131,31,.906,100.906,.097656,-1.6357,-26.3829,3198,0,2056
132,31,.945,100.945,.085449,-1.6357,-26.3829,3199,0,2055
133,31,.984,100.984,.073242,-1.6357,-26.3829,3200,0,2054
